Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1704658935,1,,Aggregated,0.400000,0.400000,2,2,2,2,3,6,6,6,6,6,6,12,12,2,2.239238666940461,1.620134000404505,5.9195249996264465,0.0
1704658936,1,,Aggregated,0.400000,0.400000,2,2,2,2,3,6,6,6,6,6,6,12,12,2,2.239238666940461,1.620134000404505,5.9195249996264465,0.0
1704658937,1,,Aggregated,0.500000,0.500000,2,2,2,2,3,6,6,6,6,6,6,13,13,2,2.207484769594605,1.620134000404505,5.9195249996264465,0.0
1704658938,1,,Aggregated,0.500000,0.500000,2,2,2,2,3,6,6,6,6,6,6,14,14,2,2.1637667861276504,1.5954330010572448,5.9195249996264465,0.0
1704658939,1,,Aggregated,0.500000,0.500000,2,2,2,2,3,6,6,6,6,6,6,14,14,2,2.1637667861276504,1.5954330010572448,5.9195249996264465,0.0
1704658940,1,,Aggregated,0.500000,0.500000,2,2,2,2,3,6,6,6,6,6,6,15,15,2,2.138864800266068,1.5954330010572448,5.9195249996264465,0.0
1704658941,1,,Aggregated,0.500000,0.500000,2,2,2,2,3,6,6,6,6,6,6,15,15,2,2.138864800266068,1.5954330010572448,5.9195249996264465,0.0
1704658942,1,,Aggregated,0.500000,0.500000,2,2,2,2,3,6,6,6,6,6,6,16,16,2,2.120369375234077,1.5954330010572448,5.9195249996264465,0.0
1704658943,1,,Aggregated,0.600000,0.600000,2,2,2,2,3,6,6,6,6,6,6,17,17,2,2.0988498237035373,1.5954330010572448,5.9195249996264465,0.0
1704658944,1,,Aggregated,0.600000,0.600000,2,2,2,2,3,6,6,6,6,6,6,17,17,2,2.0988498237035373,1.5954330010572448,5.9195249996264465,0.0
1704658945,1,,Aggregated,0.600000,0.600000,2,2,2,2,3,6,6,6,6,6,6,17,17,2,2.0988498237035373,1.5954330010572448,5.9195249996264465,0.0
1704658946,1,,Aggregated,0.600000,0.600000,2,2,2,2,3,6,6,6,6,6,6,18,18,2,2.0878213890682673,1.5954330010572448,5.9195249996264465,0.0
